Time,Open,High,Low,Close,Volume
1.50294E+12,4261.48,4313.62,4261.32,4308.83,47.181009
1.50295E+12,4308.83,4328.69,4291.37,4315.32,23.234916
1.50295E+12,4330.29,4345.45,4309.37,4324.35,7.229691
1.50295E+12,4316.62,4349.99,4287.41,4349.99,4.443249
1.50296E+12,4333.32,4377.85,4333.32,4360.69,0.972807
1.50296E+12,4360,4445.78,4360,4444,10.763623
1.50296E+12,4441.1,4470,4399.81,4460,24.865399
1.50297E+12,4460,4485.39,4427.3,4427.3,27.018053
1.50297E+12,4436.06,4449.56,4411,4411,23.032398
1.50297E+12,4411,4459,4411,4459,31.312436
1.50298E+12,4459,4485.39,4435.93,4470.82,51.735897
1.50298E+12,4470.82,4470.82,4333.42,4352.34,68.48127
1.50299E+12,4352.33,4354.35,4255.3,4354.18,67.458791
1.50299E+12,4354.18,4354.84,4235.45,4289.24,59.664912
1.50299E+12,4289.24,4302.45,4218.68,4256.97,51.275163
1.503E+12,4241.91,4335.3,4200.74,4325.23,46.71085
1.503E+12,4307.56,4354.84,4258.56,4346.74,48.975472
1.503E+12,4346.74,4369.69,4309.23,4333.55,61.773036
1.50301E+12,4333.55,4359.13,4310,4336.8,57.376142
1.50301E+12,4313.39,4337.38,4280.82,4285.08,81.645263
1.50301E+12,4285.08,4340.62,4228.76,4286.53,82.435474
1.50302E+12,4269.36,4269.36,4134.61,4243.59,75.684883
1.50302E+12,4251.95,4298.64,4234,4267.59,54.071337
1.50303E+12,4244.77,4308.7,4234,4292.39,64.001349
1.50303E+12,4292.39,4292.39,4234.43,4287.92,50.797515
1.50303E+12,4287.92,4340.62,4250.04,4313.56,64.169286
1.50304E+12,4313.56,4316.98,4247.75,4279.46,64.235424
1.50304E+12,4279.46,4304.67,4270.48,4300.25,69.186804
1.50304E+12,4285,4320.71,4259.85,4282.73,74.829849
1.50305E+12,4265.33,4327.25,4265.33,4304.15,45.653156
1.50305E+12,4304.15,4371.52,4296.04,4356.31,51.563675
1.50305E+12,4356.31,4357.37,4302.72,4340.31,24.093449
1.50306E+12,4320.52,4340.31,4287.79,4331.71,15.118957
1.50306E+12,4302.97,4318.16,4221.05,4293.09,46.533767
1.50306E+12,4293.09,4293.09,4193.7,4259.4,74.368943
1.50307E+12,4259.4,4259.4,4200,4236.89,39.947717
1.50307E+12,4234.54,4283.79,4234.54,4250.34,45.038824
1.50308E+12,4250.34,4250.34,4066.53,4193.35,62.691466
1.50308E+12,4171.17,4297.75,4117.41,4117.41,25.318654
1.50308E+12,4086.28,4136.48,4015.7,4136.28,60.598026
1.50309E+12,4135,4135,3981.13,4021.11,19.968037
1.50309E+12,4015.4,4015.4,3938.77,3975.69,14.738631
1.50309E+12,3996.92,4131.83,3938.77,4113.75,29.906205
1.5031E+12,4106.35,4136.48,4085.88,4108.37,44.936836
1.5031E+12,4108.37,4178.31,4084.28,4163.49,41.308877
1.5031E+12,4163.49,4184.69,4143.11,4148.53,28.835177
1.50311E+12,4148.53,4184,4148.53,4156.39,18.754474
1.50311E+12,4180,4180,4103.52,4138.55,19.61192
1.50312E+12,4138.5,4156,4046.26,4068.26,17.353232
1.50312E+12,4123.95,4123.95,4027.83,4077,12.514194
1.50312E+12,4077,4082,3986.87,3986.87,51.455431
1.50313E+12,3969.12,4033.47,3933.21,4033.47,31.429222
1.50313E+12,4033.47,4064.84,3964.08,3999,18.006405
1.50313E+12,3999,4082.25,3999,4068.2,5.184223
1.50314E+12,4054,4082,3982.08,4000.58,5.886831
1.50314E+12,4016,4033,3850,3957.6,48.178583
1.50314E+12,3945.12,4095,3928.89,4095,22.230984
1.50315E+12,4095,4100,4035.49,4039.84,12.705664
1.50315E+12,4066,4068.31,4013.7,4042.41,4.334426
1.50315E+12,4036.59,4063.44,3964.67,3972.05,8.244504
1.50316E+12,4036.19,4049.69,3953.4,4000,4.084177
1.50316E+12,3985,4048.99,3976.72,4027.37,3.069548
1.50317E+12,4013.69,4096,4013.69,4086.29,17.148202
1.50317E+12,4073.47,4103.92,4073.47,4076.12,1.623129
1.50317E+12,4088.71,4103.92,4051.47,4075.98,2.98757
1.50318E+12,4075.98,4149.99,4074.23,4074.23,3.952194
1.50318E+12,4090,4141,4090,4139.98,2.358097
1.50318E+12,4120.78,4139.98,4120.78,4139.98,0.052699
1.50319E+12,4120.98,4139.98,4044,4086.09,2.343924
1.50319E+12,4086.09,4086.09,4052.82,4082.53,1.061151
1.50319E+12,4096.33,4124.69,4082.62,4124.69,2.858561
1.5032E+12,4111.26,4111.26,4094.62,4094.62,0.347647
1.5032E+12,4094.62,4094.62,4091.8,4093,0.809243
1.50321E+12,4087,4142.16,4087,4117.41,10.743056
