Time,Open,High,Low,Close,Volume
1502668800,4261.48,4485.39,3850,4086.29,2843.431426
1503273600,4069.13,4453.91,3400,4310.01,4599.396629
1503878400,4310.01,4939.19,4124.54,4509.08,4753.843376
1504483200,4505,4788.59,3603,4130.37,6382.787745
1505088000,4153.62,4394.59,2817,3699.99,8106.705127
1505692800,3690,4123.2,3505.55,3660.02,5908.32335
1506297600,3660.02,4406.52,3653.69,4378.48,5782.305424
1506902400,4400,4658,4110,4640,4708.272956
1507507200,4640,5922.3,4550,5709.99,7913.925837
1508112000,5710,6171,5037.95,5950.02,12157.76945
1508716800,5975,6189.88,5286.98,6169.98,13133.99457
1509321600,6133.01,7590.25,6030,7345.01,11663.20965
1509926400,7345.1,7770.02,5325.01,5811.03,18916.3199
1510531200,5839.94,8123.15,5699.99,8038,19791.10101
1511136000,8057.11,9350,7801,9128.02,28921.85979
1511740800,9128,11825,8520,11165.41,48427.94965
1512345600,11165.41,17204.99,10802,14899.98,72469.97763
1512950400,14946.26,19798.68,14666.56,18860.02,67851.48622
1513555200,18860.04,19300,10961,13500,135385.4403
1514160000,13500,16498.05,11750,13716.36,116522.7543
1514764800,13715.65,17176.24,12750,16150.03,120239.3994
1515369600,16218.85,16322.3,11400,13474.99,137537.9046
1515974400,13477.98,14249.99,9035,11530,303127.5021
1516579200,11530,12244,9900.24,11879.95,198030.0511
1517184000,11879.95,11975.02,7930,8184.81,202016.4078
1517788800,8179.99,9065.78,6000.01,8063.88,340794.2921
1518393600,8063.82,11274,8053,10383.43,311863.0681
1518998400,10375.01,11786.01,9274.8,9590,350623.1329
1519603200,9590,11565,9350,11515,183970.9976
1520208000,11515,11710,8329,9533.57,282035.2254
1520812800,9533.57,9888.88,7322,8189.99,315835.1516
1521417600,8189,9177.01,8088.4,8470.15,285211.5395
1522022400,8470.14,8514.89,6430,6813.01,308729.492
1522627200,6813.01,7520,6500,7018,232320.0705
1523232000,7011.04,8429.54,6611,8355,259877.0224
1523836800,8355.07,9035,7825.4,8787.02,233025.3862
1524441600,8785.7,9759.82,8651.62,9419,306668.0721
1525046400,9417.04,10020,8800.49,9659.01,222274.3885
1525651200,9661.02,9689.67,8153,8679.71,224151.2988
1526256000,8679.71,8879.99,7911.9,8526.98,182713.826
1526860800,8526.97,8595.31,7231.11,7338.99,190894.6009
1527465600,7338.99,7786.69,7032.95,7714.26,211929.2708
1528070400,7714.26,7765,6622.81,6764.99,211352.7375
1528675200,6765,6922,6118.68,6449.61,234080.8412
1529280000,6444.06,6841.74,5750,6136.97,234147.621
1529884800,6137.95,6528.99,5780,6356.81,207746.559
1530489600,6360.82,6818.16,6271.62,6712.1,211526.0191
1531094400,6712.1,6802.06,6070,6353.01,192452.8499
1531699200,6354.15,7700,6330.4,7394.79,294313.2226
1532304000,7394.78,8491.77,7375,8211,288666.0471
1532908800,8210.99,8273,6882.29,7024.19,282090.1036
1533513600,7024.19,7160,5971,6308.33,334426.5507
1534118400,6308.56,6620,5880,6477.53,378189.2965
1534723200,6477.53,6882.54,6220,6700,286906.5393
1535328000,6700,7345.45,6646.5,7302.01,294674.913
1535932800,7302,7410,6111,6250.81,306231.6234
1536537600,6252.26,6584.99,6169.68,6505,227428.1829
1537142400,6500.08,6839.03,6123,6708,244256.4901
1537747200,6706.81,6814.8,6325.02,6626.57,242598.8725
1538352000,6626.57,6697,6430,6615.26,141836.4765
1538956800,6615.26,6715.6,6205,6339.34,166310.8135
1539561600,6339.34,7680,6300,6590.11,211592.6231
1540166400,6590.12,6639,6453,6489.93,75328.88539
1540771200,6489.93,6525,6245.02,6485.85,71945.40061
1541376000,6485.85,6615.15,6355,6449.81,76161.78188
1541980800,6450.71,6498,5403.42,5662,205081.1839
1542585600,5661.94,5664,3652.66,4085.78,496323.8
1543190400,4088.69,4450.38,3689.12,4161.01,479459.9141
1543795200,4160.55,4179,3222,3545.37,406435.8179
1544400000,3548.49,3610,3156.26,3228.67,249791.7908
1545004800,3229.22,4139.99,3216,3929.71,489096.7412
1545609600,3929.71,4198,3535,3801.91,332161.2554
1546214400,3803.12,4027.71,3630.33,3987.6,214860.9062
1546819200,3987.62,4069.8,3441.3,3476.81,245887.2779
1547424000,3477.56,3720,3467.02,3539.28,199395.793
1548028800,3539.26,3662.94,3434.85,3550.84,154566.4509
1548633600,3550.05,3557.75,3349.92,3458.11,186574.1054
1549238400,3458.11,3733.58,3373.1,3680.06,198350.674
1549843200,3679.75,3700.11,3568.11,3667.58,167995.8051
1550448000,3667.62,4198,3655,3743.56,301384.2223
1551052800,3743.56,3888,3677.17,3807.75,190343.2467
1551657600,3807.32,3971.75,3670.69,3916.82,207833.43
1552262400,3915.99,4056.98,3810.43,3981.14,185620.3448
1552867200,3981.85,4069.32,3880.01,3992.18,156283.2635
1553472000,3991.35,4140,3888.71,4103.95,178114.875
1554076800,4102.44,5275.01,4067,5170.27,420989.9687
1554681600,5170.27,5422,4861.22,5131.3,247866.4074
1555286400,5131.28,5333.42,4950,5256.14,168555.9117
1555891200,5257.41,5600,5102,5307.52,247392.8239
1556496000,5309.81,5900,5178.8,5775.62,191971.59
1557100800,5773.18,7521.78,5619.14,6967.31,313283.8696
1557705600,6968.24,8366,6870,8148.48,461287.6941
1558310400,8147.94,8740,7461,8614.43,341677.3988
1558915200,8612.54,9074.26,8005,8725.98,292049.0438
1559520000,8726,8800.95,7444.58,7628.13,293308.7097
1560124800,7627.57,9333,7511,8953.33,274072.0584
1560729600,8953,11392.64,8950,10906.07,378253.0031
1561334400,10905.95,13970,10525.1,10854.1,684152.5088
1561939200,10854.1,12000,9727,11406.24,517740.0717
1562544000,11410,13147.08,10103,10174.18,510462.0357
1563148800,10174.18,11100,9060,10589.45,487080.9726
1563753600,10590.15,10683.16,9165,9541.54,269819.3251
1564358400,9541.54,11040,9395,10929.23,259518.806
1564963200,10929.99,12330.7,10927.8,11549.97,371072.8577
1565568000,11539.08,11577.89,9750,10306.78,248273.3747
1566172800,10306.17,10949.96,9762,10142.69,232472.0533
1566777600,10142.69,10604,9320,9724.98,211243.5503
1567382400,9723.59,10905.87,9712.5,10381.18,281075.6649
1567987200,10381.24,10480,9880,10302.01,207165.6545
1568592000,10303.34,10355,9653,10028.87,188644.1996
1569196800,10028.05,10049.99,7750,8043.82,364560.0647
1569801600,8043.04,8500,7710,7854.25,239136.7954
1570406400,7855.3,8779.51,7762,8275.01,281416.7387
1571011200,8275.24,8403,7816.01,8223.35,219241.7923
1571616000,8223.35,10370,7300,9529.93,508882.6938
1572220800,9528.23,9902.1,8913,9194.71,354362.7443
1572825600,9196.46,9513.68,8696,9039.47,294282.7716
1573430400,9040.16,9072.32,8350.68,8502.4,239532.0235
1574035200,8502.87,8503.52,6790,6903.28,422402.0047
1574640000,6900.23,7850,6515,7390.89,503259.0643
1575244800,7391.5,7750,7067,7510.11,331484.7837
1575849600,7510.11,7650,7008.35,7118.59,252294.9804
1576454400,7119.6,7518.54,6435,7501.44,339611.4617
1577059200,7500.71,7695.38,7076.42,7388.24,267312.0869
1577664000,7388.43,7495,6871.04,7358.75,241051.7984
1578268800,7357.64,8455,7346.76,8184.98,498017.8469
1578873600,8184.97,9198.98,8055.89,8701.7,468235.6275
1579478400,8701.72,8818,8238,8615,250977.0018
1580083200,8614.39,9578,8535,9331.51,362870.2084
1580688000,9331.59,10166,9093.01,10151.75,364995.8648
1581292800,10151.72,10500,9638.12,9917.27,427067.5852
1581897600,9910.7,10250,9350,9936.4,360700.4677
1582502400,9936.4,9990,8411,8531.88,426585.4587
1583107200,8530.3,9188,8000,8033.31,379197.1317
1583712000,8034.76,8179.31,3782.13,5361.3,1224228.283
1584316800,5360.33,6900,4442.12,5816.19,1180843.346
1584921600,5816.05,6957.96,5688,5881.42,770380.8054
1585526400,5880.5,7198,5857.76,6772.78,664784.2996
1586131200,6772.78,7459.69,6739.98,6903.79,582804.7711
1586736000,6903.79,7293.08,6468.27,7120.74,501345.2589
1587340800,7121.4,7738,6751,7693.1,469098.3129
1587945600,7693.1,9460,7606,8894.16,742165.1621
1588550400,8894.15,10067,8117,8722.77,780478.8495
1589155200,8722.77,9939,8200,9680.04,721487.8371
1589760000,9681.11,9950,8700,8720.34,517248.1775
1590364800,8718.14,9740,8642.72,9448.27,425528.2462
1590969600,9448.27,10380,9266,9746.99,427822.4953
1591574400,9746.99,9992.72,9113,9342.1,336172.7715
1592179200,9342.1,9589,8910.45,9294.69,323565.7118
1592784000,9294.69,9780,8833,9116.35,343601.0832
1593388800,9116.16,9292,8893.03,9069.41,247256.1951
1593993600,9069.41,9470,9055.92,9302.75,284964.9997
1594598400,9303.31,9343.82,9047.25,9208.99,247602.6921
1595203200,9208.99,10111,9131,9931.54,346433.5351
1595808000,9931.54,12123.46,9917.21,11071.35,637793.8117
1596412800,11071.36,11909.94,10936,11681.68,403167.4515
1597017600,11681.69,12067.35,11125,11911,468167.7223
1597622400,11910.99,12468,11376.81,11648.13,426710.4835
1598227200,11648.12,11824.9,11117.64,11711.16,355153.1694
1598832000,11711.17,12050.85,9825,10256.2,581777.7565
1599436800,10255.89,10580.11,9850,10332.83,366759.994
1600041600,10332.84,11179.79,10212.34,10920.28,374339.5588
1600646400,10920.28,10988.86,10136.82,10774.25,331299.2911
1601251200,10774.26,10950,10374,10666.63,288073.127
1601856000,10666.62,11491,10525,11369.02,288404.1455
1602460800,11369.02,11720.01,11172,11503.14,279657.097
1603065600,11503.14,13350,11407.96,13028.83,418993.3547
1603670400,13029.64,14100,12765,13761.5,485358.5217
1604275200,13761.49,15960,13195.05,15475.1,665037.1465
1604880000,15475.1,16480,14805.54,15957,529729.4265
1605484800,15957,18965.9,15864,18414.43,684197.6428
1606089600,18413.88,19484.21,16188,18184.99,676351.58
1606694400,18185,19888,18001.12,19359.4,537012.1429
1607299200,19358.67,19420.91,17572.33,19174.99,414166.9972
1607904000,19174.99,24295,19000,23455.52,650661.7243
1608508800,23455.54,28422,21815,26281.66,688906.5606
1609113600,26281.54,34778.11,25880,33000.05,625132.2632
1609718400,33000.05,41950,28130,38150.02,850700.2662
1610323200,38150.02,40100,30420,35828.61,897339.6745
1610928000,35824.99,37850,28850,32259.9,640226.9358
1611532800,32259.45,38531.9,29241.72,33092.98,747463.5085
1612137600,33092.97,40955.51,32296.16,38795.69,583442.3315
1612742400,38795.69,49707.43,37988.89,48577.79,664186.2709
1613347200,48580.47,58352.8,45570.79,57408.57,533487.7997
1613952000,57412.35,57508.47,43000,45135.66,737125.7464
1614556800,45134.11,52640,44950.53,50971.75,490819.563
1615161600,50959.11,61844,49274.67,58968.31,514559.6987
1615766400,58976.08,60633.43,53271.34,57351.56,463194.2142
1616371200,57351.56,58430.73,50427.56,55777.63,446278.6284
1616976000,55777.65,60200,54800.01,58202.01,367477.8933
1617580800,58202.01,61500,55473,60002.43,375865.5936
1618185600,59998.8,64854,50931.3,56150.01,549048.298
1618790400,56150.01,57526.81,46930,49066.77,568462.851
1619395200,49066.76,58458.07,48753.44,56578.21,395983.456
1620000000,56578.21,59500,52900,58240.84,504478.9263
1620604800,58240.83,59500,43825.39,46431.5,684880.1482
1621209600,46426.83,46686,30000,34655.25,1386781.052
1621814400,34681.44,40841,33379,35641.27,786531.1639
1622419200,35641.26,39476,34153.84,35796.31,528299.5049
1623024000,35796.31,39380,31000,39020.57,700065.6049
1623628800,39020.56,41330,33336,35600.16,610333.9621
1624233600,35600.17,35750,28805,34700.34,907073.7076
1624838400,34702.49,36600,32699,35286.51,464791.7636
1625443200,35288.13,35293.78,32077,34258.99,359766.2354
1626048000,34259,34678.43,31020,31778.56,306160.9871
1626652800,31778.57,35398,29278,35381.02,383262.2172
1627257600,35381.02,42599,35205.78,39845.44,568598.5096
1627862400,39850.27,45310,37332.7,43794.37,463107.6707
1628467200,43794.36,48144,42779,46973.82,372867.9798
1629072000,46973.82,49757.04,43927.7,49239.22,357634.4622
1629676800,49239.22,50500,46250,48767.83,298905.697
1630281600,48767.84,51900,46512,51756.88,327484.4436
1630886400,51756.88,52920,42843.05,46025.24,399602.3998
1631491200,46025.23,48843.2,43370,47241.75,289430.4439
1632096000,47241.75,47347.25,39600,43160.9,437174.2327
1632700800,43160.9,49228.08,40753.88,48200.01,290620.7812
1633305600,48200.01,56561.31,46891,54659,424292.2586
1633910400,54659.01,62933,53879,61528.33,362346.2632
1634515200,61528.32,67000,59510.63,60852.22,336367.0088
1635120000,60852.22,63710.63,57820,61299.8,314971.8498
1635724800,61299.81,64270,59405,63273.59,253033.7243
1636329600,63273.58,69000,62278,65519.1,294213.1127
1636934400,65519.11,66401.82,55600,58622.02,340150.6168
1637539200,58617.7,59444,53256.64,57274.88,315216.3194
1638144000,57274.89,59176.99,42000.3,49396.33,390528.9125
1638748800,49396.32,51936.33,46751,50053.9,272083.9975
1639353600,50053.9,50189.97,45456,46681.23,271834.8018
1639958400,46681.24,51810,45558.85,50775.49,209149.426
1640563200,50775.48,52088,45678,47286.18,217379.6422
1641168000,47286.18,47570,40501,41864.62,264331.6159
1641772800,41864.62,44500,39650,43071.66,232059.0697
1642377600,43071.66,43505,34008,36244.55,354513.9843
1642982400,36244.55,38919.98,32917.17,37881.76,353702.6264
1643587200,37881.75,42656,36250,42380.87,258946.9532
1644192000,42380.87,45821,41645.85,42053.66,301990.4788
1644796800,42053.65,44751.4,38000,38386.89,243150.4616
1645401600,38386.89,40348.45,34322.28,37699.07,412335.9327
1646006400,37699.08,45400,37450.17,38420.81,376417.0783
1646611200,38420.8,42594.06,37155,37777.34,374777.6536
1647216000,37777.35,42400,37555,41262.11,323399.671
1647820800,41262.11,46999,40467.94,46827.76,315436.1504
1648425600,46827.76,48189.84,44200,46407.35,312053.1596
1649030400,46407.36,47200,41868,42158.85,268118.2911
1649635200,42158.85,42414.71,39200,39678.12,259281.0487
1650240000,39678.11,42976,38536.51,39450.13,283885.0364
1650844800,39450.12,40797.31,37386.38,38468.35,368444.2681
1651449600,38468.35,40023.77,33713.95,34038.4,419979.5829
1652054400,34038.39,34243.15,26700,31328.89,964223.8493
1652659200,31328.89,31328.9,28654.47,30293.94,375096.2238
1653264000,30293.93,30670.51,28019.56,29468.1,430508.7199
1653868800,29468.1,32399,29282.36,29919.21,422401.4035
1654473600,29919.2,31765.64,26560,26574.53,528925.488
1655078400,26574.53,26895.84,17622,20574,1153717.638
1655683200,20574,21888,19637.03,21038.07,570801.2318
1656288000,21038.08,21539.85,18626,19315.83,508544.1397
1656892800,19315.83,22527.37,19055.31,20862.47,1111996.981
1657497600,20861.11,21684.54,18910.94,20798.16,1043685.763
1658102400,20799.58,24276.74,20762.45,22579.68,1336219.236
1658707200,22577.13,24668,20706.5,23293.32,1282264.245
1659312000,23296.36,23647.68,22400,23174.39,951140.4339
1659916800,23174.39,25047.56,22664.69,24305.24,1251083.265
1660521600,24305.25,25211.32,20761.9,21515.61,1402957.399
1661126400,21516.7,21900,19520,19555.61,1343190.86
1661731200,19555.61,20576.25,19540,20000.3,1527594.845
1662336000,20000.3,21860,18510.77,21826.87,2146685.762
1662940800,21826.87,22799,19320.01,19416.18,2218565.597
1663545600,19417.45,19956,18125.98,18807.38,2285541.488
1664150400,18809.13,20385.86,18471.28,19056.8,2777070.912
1664755200,19057.74,20475,18959.68,19439.02,1690215.44
1665360000,19439.96,19951.87,18190,19262.98,1666942.479
1665964800,19262.98,19706.66,18650,19570.4,1439566.249
1666569600,19570.4,21085,19157,20627.48,2026392.421
1667174400,20627.48,21480.65,20031.24,20905.58,2205754.83
1667779200,20905.58,21069.77,15588,16329.85,3234391.874
1668384000,16331.78,17190,15815.21,16280.23,1626234.48
1668988800,16279.5,16812.63,15476,16428.78,1561058.48
1669593600,16428.77,17324,15995.27,17105.7,1572173.556
1670198400,17106.65,17424.25,16678.83,17085.05,1443791.975
1670803200,17085.05,18387.95,16527.32,16738.21,1511897.626
1671408000,16739,17061.27,16256.3,16832.11,1148035.815
1672012800,16832.11,16972.83,16333,16616.75,1028681.784
1672617600,16617.17,17176.99,16548.7,17127.83,1112349.614
1673222400,17127.83,21258,17104.66,20871.5,2145455.735
1673827200,20872.99,23371.8,20407.15,22707.88,2108890.069
1674432000,22706.02,23960.54,22300,23742.3,1946352.796
1675036800,23743.37,24255,22500,22932.91,1949971.722
1675641600,22932.91,23452,21451,21783.54,1976378.513
1676246400,21782.37,25250,21351.07,24271.76,2497565.475
1676851200,24272.51,25250,22722,23554.85,2237983.728
1677456000,23554.85,24000,21971.13,22430.24,1698503.291
1678060800,22430.24,22602.19,19549.09,21997.11,2718623.729
1678665600,21998.05,28390.1,21813.88,27972.87,3775888.95
1679270400,27972.87,28868.05,26601.8,27968.05,1437828.847
1679875200,27968.05,29184.68,26508.14,28171.87,500795.7309
1680480000,28171.87,28775,27200.24,28323.76,306532.3901
1681084800,28323.76,31000,28170,30304.65,377573.7404
1681689600,30304.66,30485,27125,27590.6,430421.8465
1682294400,27590.59,30036,26942.82,29233.21,444613.477
1682899200,29233.2,29820,27666.95,28430.1,360117.9745
1683504000,28430.09,28631.01,25811.46,26917.62,338765.7424
1684108800,26917.61,27663.59,26361.2,26747.78,230394.7225
1684713600,26747.78,28261.32,25871.89,28065,251061.0739
1685318400,28065.01,28447.14,26505,27115.21,233113.442
1685923200,27115.2,27391.77,25351.02,25925.55,347786.7686
1686528000,25925.54,26839.99,24800,26339.97,265685.7405
