Time,Open,High,Low,Close,Volume
1609459200000,736.42000000,749.00000000,714.29000000,728.91000000,675114.09329000
1609545600000,728.91000000,787.69000000,714.91000000,774.56000000,1352618.57668000
1609632000000,774.44000000,1011.07000000,768.71000000,978.28000000,2813603.88615000
1609718400000,978.33000000,1162.97000000,890.00000000,1041.43000000,4245010.94004000
1609804800000,1041.45000000,1134.60000000,974.45000000,1099.56000000,2706995.67525000
1609891200000,1100.16000000,1213.00000000,1057.26000000,1208.42000000,2390136.59334000
1609977600000,1208.75000000,1289.00000000,1131.00000000,1224.87000000,1972922.82059000
1610064000000,1224.86000000,1273.75000000,1065.00000000,1216.93000000,2131172.92341000
1610150400000,1216.72000000,1304.37000000,1171.36000000,1276.00000000,1448871.11514000
1610236800000,1276.00000000,1348.33000000,1170.00000000,1254.25000000,1951179.35003000
1610323200000,1254.24000000,1260.00000000,915.00000000,1087.01000000,4099450.90046000
1610409600000,1087.00000000,1150.02000000,1006.33000000,1050.16000000,2302645.34052000
1610496000000,1050.36000000,1137.65000000,987.48000000,1129.89000000,1564202.39081000
1610582400000,1129.79000000,1247.55000000,1086.70000000,1231.62000000,1555737.38556000
1610668800000,1231.89000000,1256.98000000,1069.42000000,1168.53000000,1944038.83738000
1610755200000,1168.48000000,1298.00000000,1151.77000000,1227.83000000,1575384.43797000
1610841600000,1227.83000000,1269.02000000,1165.00000000,1232.45000000,1317285.00579000
1610928000000,1232.50000000,1260.75000000,1182.58000000,1258.45000000,998050.11073000
1611014400000,1258.52000000,1438.30000000,1251.49000000,1365.36000000,2278852.55758000
1611100800000,1365.36000000,1407.93000000,1235.42000000,1376.99000000,2219137.62144000
1611187200000,1376.72000000,1390.00000000,1086.00000000,1110.96000000,2310208.57298000
1611273600000,1111.98000000,1273.79000000,1042.31000000,1232.62000000,2020593.21673000
1611360000000,1232.61000000,1272.44000000,1195.90000000,1233.60000000,1009545.08258000
1611446400000,1233.46000000,1398.83000000,1220.00000000,1392.51000000,1510879.53817000
1611532800000,1392.19000000,1475.00000000,1293.69000000,1317.88000000,1885441.31289000
1611619200000,1317.60000000,1378.49000000,1244.56000000,1365.97000000,1682923.65799000
1611705600000,1366.54000000,1373.90000000,1207.00000000,1239.03000000,2009772.08358000
1611792000000,1238.93000000,1360.00000000,1217.23000000,1329.69000000,1365269.71962000
1611878400000,1329.44000000,1436.90000000,1285.35000000,1379.50000000,2253963.18682000
1611964800000,1379.56000000,1406.00000000,1326.41000000,1378.05000000,1040042.23630000
1612051200000,1378.04000000,1380.74000000,1281.12000000,1312.55000000,958704.85571000
